ID,A_name_in_paper,A_category,relationship,B_name_in_paper,B_ensembl,B_category,mechanism,key_molecular ,key_molecular_category,detail mechanism,method,species,detial,pmid,article_title
LncReg_1,lincRNA-p21,lncRNA,down,vcan,ENSG00000038427.14,protein coding,transcriptional regulation,hnRNPK,RNA binding protein,,microarray;ChIP-promoter-qPCR,Mus musculus ,The observed transcriptional repression by lincRNA-p21 is mediated through the physical association with hnRNP-K. This interaction is required for proper genomic localization of hnRNPK at repressed genes and regulation of p53 mediates apoptosis.,20673990,A large intergenic noncoding RNA induced by p53 mediates global gene repression in the p53 response
LncReg_10,lincRNA-p21,lncRNA,down,pdlim2,ENSG00000120913.22,protein coding,transcriptional regulation,hnRNPK,RNA binding protein,,microarray;ChIP-promoter-qPCR,Mus musculus ,The observed transcriptional repression by lincRNA-p21 is mediated through the physical association with hnRNP-K. This interaction is required for proper genomic localization of hnRNPK at repressed genes and regulation of p53 mediates apoptosis.,20673990,A large intergenic noncoding RNA induced by p53 mediates global gene repression in the p53 response
LncReg_100,lnc-DC,lncRNA,down,CD14,ENSG00000170458.12,protein coding,transcriptional regulation,STAT3,TF,Knockdown of lnc-DC impaired DC differentiation from human monocytes in vitro and from mouse bone marrow cells in vivo and reduced capacity of DCs to stimulate T cell activation. lnc-DC mediated these effects by activating the transcription factor STAT3.,microarry;Flow cytometry,Homo sapiens,"Analysis of protein expression by flow cytometry confirmed the microarray data, and we found that CD40, CD80, CD86, and HLA-DR (molecules important for T cell activation) were down-regulated, whereas the monocyte marker CD19 was up-regulated by lnc-DC kndown",24744378,The STAT8-binding long noncoding RNA lnc-DC controls human dendritic cell differentiation
LncReg_1000,NEAT1,lncRNA,up,ER?,ENSG00000091831.20,protein coding,transcriptional regulation,,,,ChIP;qPCR;luciferase assay,Homo sapiens,"Using a combination of chromatin immunoprecipitation (ChIP) and RNA-sequencing data, we identified an ER a-specific non-coding transcriptome signature. Among putatively ER a-regulated intergenic long non-coding RNAs (lncRNAs), we identified nuclear enriched abundant transcript 1 (NEAT1) as the most significantly overexpressed lncRNA in prostate cancer. ",25415230,The oestrogen receptor alpha-regulated lncRNA NEAT1 is a critical modulator of prostate cancer
LncReg_1003,MT1DP,lncRNA,down,YAP,ENSG00000137693.12,protein coding,transcriptional regulation,,,,qPCR;luciferase assay;ChIP,Homo sapiens,MT1DP is negatively regulated by YAP and Runx2.,25261601,"Tumor suppressor long non-coding RNA, MT1DP is negatively regulated by YAP and Runx2 to inhibit FoxA1 in liver cancer cells"
LncReg_1004,MT1DP,lncRNA,down,Runx2,ENSG00000124813.19,protein coding,transcriptional regulation,,,,qPCR;luciferase assay;ChIP,Homo sapiens,MT1DP is negatively regulated by YAP and Runx2.,25261601,"Tumor suppressor long non-coding RNA, MT1DP is negatively regulated by YAP and Runx2 to inhibit FoxA1 in liver cancer cells"
LncReg_1005,lincRNA-NR_034037 ,lncRNA,up,sox5,ENSG00000134532.14,protein coding,transcriptional regulation,,,,qPCR;luciferase assay,Homo sapiens,Sox5-binding site contributes to the activation of lincRNA-NR_034037 promoter.,25239642,Identification of chimeric TSNAX-DISC1 resulting from intergenic splicing in endometrial carcinoma through high-throughput RNA sequencing
LncReg_1007,CCAT1,lncRNA,up,c-myc,ENSG00000136997.13,protein coding,transcriptional regulation,,,,qPCR;ChIP,Homo sapiens,c-Myc promotes CCAT1 transcription through binding to its promoter regions. ,25185650,C-Myc-activated long noncoding RNA CCAT1 promotes colon cancer cell proliferation and invasion
LncReg_1008,Gomafu,lncRNA,up,Celf3,ENSG00000159409.13,protein coding,,,,,qPCR,Mus musculus ,"Knock down of Celf3 led to the down-regulation of Gomafu, and cross-link RNA precipitation analysis confirmed specific binding between Celf3 and Gomafu. ",25145264,Formation of nuclear bodies by the lncRNA Gomafu-associating proteins Celf3 and SF1
LncReg_101,lnc-DC,lncRNA,Active,STAT3,ENSG00000168610.13,protein coding,post-translational regulation,SHP-1,enzyme,lnc-DC directly binds STAT3 in cytoplasm to prevent Y705 dephosphorylation of STAT3 by SHP1.,RNA pull-down;RIP-qPCR;RNA FISH;western blot,Homo sapiens,lnc-DC directly binds STAT3 in cytoplasm to prevent Y705 dephosphorylation of STAT3 by SHP1.,24744378,The STAT9-binding long noncoding RNA lnc-DC controls human dendritic cell differentiation
